location_id,muni_name,party_acronym,political_party_slug,political_party_long_name,seats_available,party_seats,rank
24211,Villamandos,PP,pp,PARTIDO POPULAR,7,6,1
24901,Villamanín,P.S.O.E.,NA,NA,7,3,1
24213,Villamartín de Don Sancho,PP,pp,PARTIDO POPULAR,5,3,1
24212,Villamañán,PP,pp,PARTIDO POPULAR,9,4,1
24214,Villamejil,P.S.O.E.,NA,NA,7,5,1
24215,Villamol,PP,pp,PARTIDO POPULAR,5,4,1
24216,Villamontán de la Valduerna,PP,pp,PARTIDO POPULAR,7,3,1
24217,Villamoratiel de las Matas,P.S.O.E.,NA,NA,5,3,1
24218,Villanueva de las Manzanas,PP,pp,PARTIDO POPULAR,7,3,1
24219,Villaobispo de Otero,PP,pp,PARTIDO POPULAR,7,5,1
24902,Villaornate y Castro,P.S.O.E.,NA,NA,7,3,1
24221,Villaquejida,AGRUPACION DE ELECTORES OTRO AIRE VQJ-VFR,NA,NA,7,3,1
24222,Villaquilambre,P.S.O.E.,NA,NA,17,6,1
24223,Villarejo de Órbigo,VIA,NA,NA,11,5,1
24224,Villares de Órbigo,P.S.O.E.,NA,NA,7,5,1
24225,Villasabariego,PP,pp,PARTIDO POPULAR,9,4,1
24226,Villaselán,PP,pp,PARTIDO POPULAR,5,4,1
24227,Villaturiel,U.P.L.,NA,NA,9,6,1
24228,Villazala,PP,pp,PARTIDO POPULAR,7,5,1
24229,Villazanzo de Valderaduey,PP,pp,PARTIDO POPULAR,7,3,1
24230,Zotes del Páramo,PP,pp,PARTIDO POPULAR,7,4,1
24001,Acebedo,P.S.O.E.,NA,NA,5,1,2
24002,Algadefe,PP,pp,PARTIDO POPULAR,7,3,2
24003,Alija del Infantado,Cs,NA,NA,7,2,2
24005,"Antigua, La",P.S.O.E.,NA,NA,7,2,2
24006,Ardón,PP,pp,PARTIDO POPULAR,7,3,2
24007,Arganza,C. Bierzo,NA,NA,7,2,2
24008,Astorga,P.S.,NA,NA,17,7,2
24009,Balboa,P.S.O.E.,NA,NA,7,1,2
24012,"Barrios de Luna, Los",U.P.L.,NA,NA,7,2,2
24010,"Bañeza, La",P.S.O.E.,NA,NA,17,6,2
24014,Bembibre,PP,pp,PARTIDO POPULAR,13,3,2
24015,Benavides,P.S.O.E.,NA,NA,11,4,2
24016,Benuza,PP,pp,PARTIDO POPULAR,7,3,2
24017,Bercianos del Páramo,P.S.O.E.,NA,NA,7,3,2
24019,Berlanga del Bierzo,PP,pp,PARTIDO POPULAR,7,1,2
24020,Boca de Huérgano,P.S.O.E.,NA,NA,7,2,2
24022,Borrenes,P.S.O.E.,NA,NA,7,1,2
24021,Boñar,PP,pp,PARTIDO POPULAR,9,3,2
24023,Brazuelo,P.S.O.E.,NA,NA,7,1,2
24024,"Burgo Ranero, El",PP,pp,PARTIDO POPULAR,7,2,2
24025,Burón,U.P.L.,NA,NA,7,3,2
24026,Bustillo del Páramo,Cs,NA,NA,9,2,2
24027,Cabañas Raras,PSOE,psoe,PARTIDO SOCIALISTA OBRERO ESPAÑOL,9,3,2
24028,Cabreros del Río,P.S.O.E.,NA,NA,7,2,2
24029,Cabrillanes,PP,pp,PARTIDO POPULAR,7,2,2
24030,Cacabelos,P.S.O.E.,NA,NA,13,4,2
24031,Calzada del Coto,Cs,NA,NA,5,1,2
24032,Campazas,P.S.O.E.,NA,NA,5,1,2
24033,Campo de Villavidel,U.P.L.,NA,NA,5,1,2
24034,Camponaraya,PODEMOS,NA,NA,11,1,2
24036,Candín,P.S.O.E.,NA,NA,7,1,2
24038,Carracedelo,P.S.O.E.,NA,NA,11,5,2
24039,Carrizo,PP,pp,PARTIDO POPULAR,11,3,2
24040,Carrocera,PP,pp,PARTIDO POPULAR,7,2,2
24041,Carucedo,PP,pp,PARTIDO POPULAR,7,2,2
24046,Castrocalbón,PP,pp,PARTIDO POPULAR,7,1,2
24047,Castrocontrigo,PP,pp,PARTIDO POPULAR,7,2,2
24049,Castropodame,PP,pp,PARTIDO POPULAR,9,3,2
24050,Castrotierra de Valmadrigal,PP,pp,PARTIDO POPULAR,5,2,2
24051,Cea,Cs,NA,NA,7,2,2
24052,Cebanico,PP,NA,NA,5,1,2
24053,Cebrones del Río,U.P.L.,NA,NA,7,3,2
24065,Chozas de Abajo,PP,pp,PARTIDO POPULAR,11,2,2
24054,Cimanes de la Vega,U.P.L.,NA,NA,7,3,2
24055,Cimanes del Tejar,P.S.O.E.,NA,NA,7,2,2
24056,Cistierna,PP,pp,PARTIDO POPULAR,11,2,2
24057,Congosto,Cs,NA,NA,9,2,2
24058,Corbillos de los Oteros,P.S.O.E.,NA,NA,5,1,2
24059,Corullón,PP,pp,PARTIDO POPULAR,7,1,2
24060,Crémenes,PP,pp,PARTIDO POPULAR,7,2,2
24061,Cuadros,PP,pp,PARTIDO POPULAR,11,2,2
24062,Cubillas de los Oteros,PP,pp,PARTIDO POPULAR,5,1,2
24063,Cubillas de Rueda,U.P.L.,NA,NA,7,3,2
24064,Cubillos del Sil,PP,pp,PARTIDO POPULAR,9,2,2
24037,Cármenes,PP,pp,PARTIDO POPULAR,7,3,2
24066,Destriana,P.S.O.E.,NA,NA,7,2,2
24067,Encinedo,P.S.O.E.,NA,NA,7,3,2
24068,"Ercina, La",PP,pp,PARTIDO POPULAR,7,2,2
24070,Fabero,PP,NA,NA,11,3,2
24071,Folgoso de la Ribera,PP,pp,PARTIDO POPULAR,9,3,2
24073,Fresno de la Vega,U.P.L.,NA,NA,7,2,2
24074,Fuentes de Carbajal,AGRUPACIÓN DE FUENTES DE CARBAJAL,NA,NA,3,1,2
24076,Garrafe de Torío,P.S.O.E.,NA,NA,9,3,2
24077,Gordaliza del Pino,PP,pp,PARTIDO POPULAR,5,1,2
24078,Gordoncillo,PP,pp,PARTIDO POPULAR,7,3,2
24079,Gradefes,P.S.O.E.,NA,NA,7,2,2
24080,Grajal de Campos,P.S.O.E.,NA,NA,5,1,2
24083,Igüeña,PP,pp,PARTIDO POPULAR,9,2,2
24084,Izagre,PP,pp,PARTIDO POPULAR,5,1,2
24086,Joarilla de las Matas,P.S.O.E.,NA,NA,7,3,2
24087,Laguna Dalga,U.P.L.,NA,NA,7,3,2
24088,Laguna de Negrillos,PP,pp,PARTIDO POPULAR,9,3,2
24089,León,PP,pp,PARTIDO POPULAR,27,9,2
24092,Llamas de la Ribera,P.S.O.E.,NA,NA,7,3,2
24090,Lucillo,P.S.O.E.,NA,NA,7,3,2
24091,Luyego,PP,pp,PARTIDO POPULAR,7,3,2
24093,Magaz de Cepeda,P.S.O.E.,NA,NA,7,2,2
